ProteinName,sample_conc(fmol/µg)_DIA_Ec_LB1_Free,invivo_conc(mM)DIA_Ec_LB1_Free,sample_conc(fmol/µg)_DIA_Ec_LB2_Free,invivo_conc(mM)DIA_Ec_LB2_Free,sample_conc(fmol/µg)_DIA_Ec_LB3_Free,invivo_conc(mM)DIA_Ec_LB3_Free,sample_conc(fmol/µg)_DIA_Ec_M9Glu1_Free,invivo_conc(mM)DIA_Ec_M9Glu1_Free,sample_conc(fmol/µg)_DIA_Ec_M9Glu2_Free,invivo_conc(mM)DIA_Ec_M9Glu2_Free,sample_conc(fmol/µg)_DIA_Ec_M9Glu3_Free,invivo_conc(mM)DIA_Ec_M9Glu3_Free,sample_conc(fmol/µg)_DIA_Ec_M9Gly1_Free,invivo_conc(mM)DIA_Ec_M9Gly1_Free,sample_conc(fmol/µg)_DIA_Ec_M9Gly2_Free,invivo_conc(mM)DIA_Ec_M9Gly2_Free,sample_conc(fmol/µg)_DIA_Ec_M9Gly3_Free,invivo_conc(mM)DIA_Ec_M9Gly3_Free
A5A613,0.5183161965203235,4.1598197310477246e-05,0.5482770061482675,4.203457047136717e-05,0.4460415872364216,3.499710915239616e-05,0.40742066380817976,2.7297184475148048e-05,0.3116138963825137,2.1501358850393444e-05,0.2731821920410284,1.9213814173552332e-05,0.3979837416785574,2.560938859496804e-05,0.3042521232784904,1.8255127396709424e-05,0.2426666558984474,1.667014418780639e-05
A5A614,0.23496363747218038,1.885733808430576e-05,0.16049913838828692,1.2304933943101998e-05,0.3714819732468233,2.914704713167383e-05,0.18153529484304573,1.2162864754484066e-05,0.33867350704879357,2.336847198636676e-05,0.16746998201164062,1.1778722068152059e-05,0.4045495883590996,2.6031886555281192e-05,0.3227201243235132,1.9363207459410793e-05,0.1908356535041098,1.3109579675499717e-05
A5A621,0.24457694966248053,1.9628868011373437e-05,0.16053663950953337,1.2307809029064227e-05,0.1509153015954518,1.184104674056622e-05,0.4548807956870703,3.0477013311033716e-05,0.3529053185042614,2.4350466976794038e-05,0.31530243060036894,2.2176270952225953e-05,0.35899706528821834,2.310068072289405e-05,0.35669105655679595,2.1401463393407756e-05,0.2324600139432811,1.5968992262190616e-05
P00350,153.86529549127508,0.012348676279171564,172.1425645812625,0.013197596617896792,113.31347168862831,0.00889074931710776,95.3752813670977,0.006390143851595547,122.15217718295125,0.008428500225623636,168.5009230276058,0.011851231586274942,102.41075771084165,0.006589909626610681,61.70707899621244,0.0037024247397727463,104.41613788114255,0.0071729346892263155
P00363,13.022175899989941,0.0010451130914607312,11.658643393238096,0.0008938293268149208,9.644816124061135,0.000756747111272489,2.2085850062789243,0.00014797519542068794,3.4673649305286887,0.00023924818020647952,2.251853395278946,0.00015838035546795256,4.953562090439891,0.0003187509519065669,3.7786732997436268,0.0002267203979846176,3.968198978874771,0.00027259801680965825
P00370,2.578443842211584,0.00020693664682364766,2.099294606457017,0.00016094591982837133,2.646232087133602,0.0002076274406827903,76.63776806702724,0.005134730460490826,57.148980741593455,0.003943279671169949,36.60789242986946,0.0025747551009008187,40.82676800072498,0.002627113767003173,106.9160424442144,0.006414962546652864,38.62845737189335,0.002653607071634413
P00393,22.00338048322105,0.0017659123310892794,12.123034636567963,0.0009294326554702106,15.818701585594058,0.0012411596628696875,6.161289524900205,0.00041280639816831385,8.59847876175404,0.0005932950345610287,10.029524358389235,0.0007054098798733764,4.530558300061692,0.0002915315775691872,5.050976110799312,0.00030305856664795874,2.4415679962462504,0.00016772510582909025
P00448,29.59265132885688,0.0023749999656236423,18.369770936112637,0.001408349105101969,25.080329739418556,0.0019678412564774557,49.90186796135998,0.0033434251534111194,67.66668351588437,0.0046690011625960225,69.41077111522658,0.004881890901770936,105.37788535912799,0.00678083784050041,102.41579092968108,0.006144947455780864,67.05940463331821,0.0046066895356801215
P00452,17.41295979120672,0.0013975016447814626,16.97084467563749,0.0013010980917988744,22.175003873628746,0.0017398849193154863,12.05091880892195,0.0008074115601977708,18.97567544354654,0.0013093216056047111,20.541396000088024,0.0014447448520061913,20.894903755070462,0.0013445416329349689,6.9162680139230694,0.0004149760808353842,17.213126032036183,0.0011824669187224857
P00490,6.221387262502113,0.0004993062085033748,5.341395551505656,0.0004095069922821003,5.329497273127658,0.00041816055527617015,5.917021695945958,0.00039644045362837924,4.791522850828543,0.00033061507670716946,2.2284999532474083,0.00015673783004506773,2.8989399253666197,0.00018654048215402597,2.675614525676407,0.00016053687154058438,3.6552270691433506,0.00025109820735854326
P00509,42.93657229030733,0.003445935160734922,64.69905707938567,0.004960261042752901,51.95804503199354,0.004076708148664109,168.75535299180382,0.011306608650450859,58.6287418490579,0.004045383187584996,124.40086140216555,0.008749527251952311,106.41756899321915,0.006847739222172363,118.47796516487331,0.007108677909892399,239.60243250976586,0.016459645363714352
P00547,2.0732974541177733,0.00016639541106124695,3.6206507067086795,0.0002775832208476655,1.743201599181457,0.00013677427932039124,35.20574797004233,0.0023587851139928364,42.63836664619331,0.0029420472985873386,25.029647415540637,0.0017604185348930248,25.74999274418311,0.0016569560548430871,38.79633436189241,0.002327780061713545,32.83569014409085,0.0022556691490288497
