ProteinName,sample_conc(fmol/µg)_DIA_Ec_LB1_Free,invivo_conc(mM)DIA_Ec_LB1_Free,sample_conc(fmol/µg)_DIA_Ec_LB2_Free,invivo_conc(mM)DIA_Ec_LB2_Free,sample_conc(fmol/µg)_DIA_Ec_LB3_Free,invivo_conc(mM)DIA_Ec_LB3_Free,sample_conc(fmol/µg)_DIA_Ec_M9Glu1_Free,invivo_conc(mM)DIA_Ec_M9Glu1_Free,sample_conc(fmol/µg)_DIA_Ec_M9Glu2_Free,invivo_conc(mM)DIA_Ec_M9Glu2_Free,sample_conc(fmol/µg)_DIA_Ec_M9Glu3_Free,invivo_conc(mM)DIA_Ec_M9Glu3_Free,sample_conc(fmol/µg)_DIA_Ec_M9Gly1_Free,invivo_conc(mM)DIA_Ec_M9Gly1_Free,sample_conc(fmol/µg)_DIA_Ec_M9Gly2_Free,invivo_conc(mM)DIA_Ec_M9Gly2_Free,sample_conc(fmol/µg)_DIA_Ec_M9Gly3_Free,invivo_conc(mM)DIA_Ec_M9Gly3_Free
A5A613,1.3863013371463868,0.00011125956885303053,1.4678425366419783,0.000112534594475885,1.2151036362898437,9.533890069351082e-05,1.138629777847665,7.628819511579357e-05,0.8758314384637892,6.043236925400145e-05,0.7732316823123639,5.43839616559696e-05,1.1118313114602587,7.154392786787752e-05,0.8308846176268541,4.985307705761125e-05,0.6966218878534283,4.7854894904713775e-05
A5A614,0.6478092770923896,5.199084711023537e-05,0.4429307030950354,3.395802057061939e-05,1.0431802492304774,8.184952724731438e-05,0.5229789448032168,3.503958930181554e-05,0.9812249503219125,6.770452157221196e-05,0.48862746319514694,3.436679824472534e-05,1.165008187399628,7.496574423267172e-05,0.9084829758759989,5.4508978552559926e-05,0.5647161020010912,3.8793540920074967e-05
A5A621,0.6836792422966049,5.486964175354804e-05,0.4491874479384237,3.443770434194582e-05,0.4296801111878235,3.3713362570121543e-05,1.3286515400957286,8.901965318641383e-05,1.0366590059769436,7.152947141240911e-05,0.9327356611715516,6.560240816906581e-05,1.0481862923537004,6.744850924710768e-05,1.0180598946140904,6.108359367684542e-05,0.6974438963168256,4.7911363312199325e-05
P00350,110.06208405857464,0.008833187771880477,130.67666371211297,0.010018544217928662,101.30181740410103,0.00794829644247562,103.27315772058704,0.006919301567279333,114.2242334124845,0.00788147210546143,133.06034606267158,0.00935857767307457,84.68753721568724,0.005449458916487701,61.6978317684677,0.003701869906108062,93.5593707452092,0.006427121990323067
P00363,7.849999187738263,0.0006300127553236093,7.251262493736454,0.0005559301245197949,6.201723625148698,0.00048659677674243627,1.4268401855805324,9.559829243389569e-05,2.180976466105206,0.00015048737616125922,1.5501711631131547,0.00010902870513895855,3.4930630599837618,0.0002247710142946073,2.4962206936156925,0.00014977324161694156,2.737474279012153,0.0001880525809060523
P00370,1.8338438469091718,0.0001471777241237361,1.6990400163706592,0.00013025973458841722,1.7102744562878553,0.00013419076503181634,56.43083919585986,0.0037808662261226114,41.96878068453302,0.002895845867232779,33.171438447482956,0.002333057837472968,35.550095246315585,0.002287571346284655,71.67073617666875,0.004300244170600125,38.27037409384635,0.002629008307316402
P00393,16.788332089433577,0.0013473712676904384,11.364568349173306,0.0008712835734366202,12.636272299454747,0.0009914613650341417,5.977955112573321,0.00040052299254241257,8.20618608281737,0.0005662268397143986,7.879797919962499,0.0005542124537040292,4.580192068749375,0.00029472540268474245,4.34525710035885,0.000260715426021531,3.456333199995251,0.00023743506330402162
P00448,67.64115941935269,0.005428636640578819,34.677246757214604,0.0026585889180531196,50.12067359705549,0.003932545159153585,93.69277425190295,0.006277415874877499,140.9260961901982,0.009723900637123676,99.81593877597491,0.007020387693910236,163.6155820707831,0.010528307020206911,174.30990448894246,0.010458594269336548,137.223376318778,0.00942664932972475
P00452,10.402811348481041,0.000834892295403735,10.960798167771967,0.0008403278595291841,12.0974097953201,0.0009491813839405003,8.983954446046033,0.0006019249478850843,10.44693046282736,0.0007208382019350879,11.881672825564594,0.0008356776553980432,11.148465577559215,0.0007173795241212016,5.320326036937097,0.0003192195622162258,9.320464910669742,0.0006402754156025301
P00490,4.12861827195032,0.0003313480818257565,3.747792905561418,0.00028733078942637537,3.6849341777554487,0.00028912560471619676,3.8614700009606624,0.0002587184900643644,3.457888924738819,0.0002385943358069785,3.198852202783809,0.00022498593826246124,2.428515211875392,0.0001562696745032861,2.061016773042228,0.00012366100638253367,3.061715191480803,0.00021032652184955084
